,formula,eps_ion,eps_inf_hybrid,n_eff_mass_hybrid,p_eff_mass_hybrid,n_eff_mass_poly,p_eff_mass_poly,eps_total_hybrid,eps_eff_hybrid,E_polaron_hole_hybrid,E_polaron_electron_hybrid,omega,n_mobility,p_mobility,task_id,n_eff_mass_dataset,p_eff_mass_dataset,eps_inf_dataset,eps_total_dataset,eps_eff_dataset,E_polaron_hole_dataset,E_polaron_electron_dataset
0,Ca4Bi2O,36.55105046,9.9097,"[0.4628720488, 0.46393469870000004, 1.1796648876]","[0.6013311204, 0.6035524761000001, 0.7244918218]",0.5809901885000001,0.6382826778,46.46075046,12.5964122245,0.013682963400000001,0.0124547756,105.3686502621,30.5891318707,26.2001159682,mp-551873,0.3267108161,0.4736000971,12.262452885,37.4089212479,18.242129577,0.0048408491,0.0033394372000000003
1,CuRhO2,1.3657883867,8.2478,"[0.4586616377, 0.4586632204, 0.6197820547]","[1.7274368836, 1.7274429196, 4.5621511007999995]",0.5021781304,2.1786847975,9.6135883867,58.0550801791,0.0021987446,0.0005068018,590.1442632361,631.0256510086,67.3315755169,mp-14116,0.5814168967000001,2.3137835821,12.1302396771,13.4863760214,120.6316564011,0.0005408303000000001,0.000135902
2,K2TiO3,5.88796953,2.9921333333,"[0.8779510699, 2.4248277346, 4.7826269079]","[0.9877743759000001, 3.1184794437, 58.2202823638]",1.7040553615,2.2218565445,8.8801028633,4.5126680166,0.3711163454,0.2846280961,370.013959936,1.2936610305,0.6976092646000001,mp-13133,2.4439382913,2.5730634042,3.3301816021,17.8948067508,4.0916230665,0.5227813538,0.4965463994
3,LaZnAsO,18.1914654,9.4644,"[0.39118662600000004, 0.39118662600000004, 0.8932753398000001]","[0.9354648448, 0.9354648448, 2.0631968998]",0.4813767465,1.1438771624,27.6558654,14.3884050425,0.018793813700000002,0.0079089829,281.4533827233,67.4378485736,16.5705840887,mp-549589,0.2489881257,0.4703771639,9.7038755451,23.9785217875,16.3005504465,0.00602147,0.003187388
4,LiAg3O2,2.8225352333,4.962,"[0.889981232, 0.9439722185, 1.0772204513]","[0.3477721988, 0.7026923464, 1.9885432508]",0.9642310458000001,0.6248146287,7.7845352333,13.6851662192,0.0113478052,0.0175122438,428.7871595638,29.7344365253,59.8563686476,mp-27227,1.1043659815,0.7834832245000001,8.2043194156,10.9467048264,32.7489573817,0.0024848237,0.0035025061000000003
5,LiNbO2,6.3393898533,7.7059666667,"[2.4205156203, 2.4205241448, 7.2075209491]","[0.4237244529, 0.42372593750000004, 1.747812767]",3.1087672609,0.5668737174,14.04535652,17.0731019339,0.0066148849000000004,0.0362763999,419.7630067215,5.5682172158,88.4281075025,mp-3924,2.8753638052,0.758777993,8.535231999,14.8836303896,20.0105964603,0.0064454834,0.0244249437
6,NaAg3O2,1.9270305699999999,4.3839666667,"[0.6372232742, 0.9563897839000001, 0.9804838352]","[0.6769420970000001, 0.8030784808, 5.1866496132]",0.8253521615,1.0290740083,6.3109972367000005,14.3574274065,0.016980645200000002,0.0136190518,439.4733855073,41.7545214711,29.2336251294,mp-27303,1.0414477999,1.1968935066,7.091533053,9.7416886278,26.067717516,0.0059911520000000005,0.0052130553
7,NaNbO2,2.7240350433,7.3291,"[0.9712358255, 1.4948749435, 1.494876133]","[0.5038388528000001, 0.5038392762, 1.1386573014999999]",1.2671487029000001,0.6188439383000001,10.0531350433,27.0482687902,0.0028771535,0.0058912774000000005,464.0007230934,47.4535221344,144.6928692245,mp-3744,1.390302708,0.7543403737000001,8.0499702977,10.8496787636,31.1959594553,0.0026365226000000003,0.0048592978000000005
8,NaSbO3,3.9547976433,2.7844333333,"[0.35183739950000004, 0.3518379222, 0.5596881907]","[8.6818442218, 8.6818573283, 13.9308825832]",0.4015446662,9.9288896818,6.7392309767,4.7448544944,1.5000845054,0.0606664946,452.8179205796,32.6338510271,0.06264382410000001,mp-4482,0.4107093891,11.7049531975,3.3842632131,8.117927679,5.8037920111,1.1819710471,0.0414736051
9,PtO2,0.9732904167,7.0860666667,"[0.3999293739, 0.40448090540000003, 1.3925364897999999]","[0.8129081007000001, 2.3181547377, 2.8912389542]",0.5271610858,1.4944693979,8.0593570833,58.6763627845,0.0014764593,0.0005208082000000001,712.9248921484,853.448327782,175.0665626904,mp-1285,1.5515778991,1.1810006115,18.7801635122,19.7628335908,377.6946651344,2.81598e-05,3.69958e-05
10,YZnAsO,21.1878803533,8.6934333333,"[0.6512046402, 0.6512046402, 1.1208327088]","[1.1765934785, 1.1765934785, 1.7686200135]",0.7569210987,1.3243658933,29.8813136867,12.2603679139,0.0299682801,0.017127912800000002,307.1755883134,28.2342248838,11.1012441832,mp-546011,0.46971421150000003,0.4062797795,9.7393948805,23.9414293668,16.4184247569,0.0051265249,0.0059269541
11,YZnPO,10.7908800433,7.1369,"[0.4911341818, 0.4911349351, 0.7020637154]","[0.5296595264, 0.5296603328, 7.802664287]",0.5457943358,0.7684093390000001,17.9277800433,11.85712128,0.018590666000000002,0.0132047851,301.7059276631,45.574321912,26.0395269036,mp-12509,0.8464521659,0.5766634517,9.3778260412,19.6882503946,17.907409135400002,0.0061167081,0.0089783751
