,formula,E_polaron_electron_dataset,E_polaron_electron_hybrid,E_polaron_hole_dataset,E_polaron_hole_hybrid,omega,n_mobility,p_mobility,n_eff_mass_poly,p_eff_mass_poly,n_eff_mass_dataset,p_eff_mass_dataset
9,PtO2,3.69958e-05,0.0005208082000000001,2.81598e-05,0.0014764593,712.9248921484,853.448327782,175.0665626904,0.5271610858,1.4944693979,1.5515778991,1.1810006115
1,CuRhO2,0.000135902,0.0005068018,0.0005408303000000001,0.0021987446,590.1442632361,631.0256510086,67.3315755169,0.5021781304,2.1786847975,0.5814168967000001,2.3137835821
4,LiAg3O2,0.0035025061000000003,0.0175122438,0.0024848237,0.0113478052,428.7871595638,29.7344365253,59.8563686476,0.9642310458000001,0.6248146287,1.1043659815,0.7834832245000001
7,NaNbO2,0.0048592978000000005,0.0058912774000000005,0.0026365226000000003,0.0028771535,464.0007230934,47.4535221344,144.6928692245,1.2671487029000001,0.6188439383000001,1.390302708,0.7543403737000001
0,Ca4Bi2O,0.0033394372000000003,0.0124547756,0.0048408491,0.013682963400000001,105.3686502621,30.5891318707,26.2001159682,0.5809901885000001,0.6382826778,0.3267108161,0.4736000971
10,YZnAsO,0.0059269541,0.017127912800000002,0.0051265249,0.0299682801,307.1755883134,28.2342248838,11.1012441832,0.7569210987,1.3243658933,0.46971421150000003,0.4062797795
6,NaAg3O2,0.0052130553,0.0136190518,0.0059911520000000005,0.016980645200000002,439.4733855073,41.7545214711,29.2336251294,0.8253521615,1.0290740083,1.0414477999,1.1968935066
3,LaZnAsO,0.003187388,0.0079089829,0.00602147,0.018793813700000002,281.4533827233,67.4378485736,16.5705840887,0.4813767465,1.1438771624,0.2489881257,0.4703771639
11,YZnPO,0.0089783751,0.0132047851,0.0061167081,0.018590666000000002,301.7059276631,45.574321912,26.0395269036,0.5457943358,0.7684093390000001,0.8464521659,0.5766634517
5,LiNbO2,0.0244249437,0.0362763999,0.0064454834,0.0066148849000000004,419.7630067215,5.5682172158,88.4281075025,3.1087672609,0.5668737174,2.8753638052,0.758777993
2,K2TiO3,0.4965463994,0.2846280961,0.5227813538,0.3711163454,370.013959936,1.2936610305,0.6976092646000001,1.7040553615,2.2218565445,2.4439382913,2.5730634042
8,NaSbO3,0.0414736051,0.0606664946,1.1819710471,1.5000845054,452.8179205796,32.6338510271,0.06264382410000001,0.4015446662,9.9288896818,0.4107093891,11.7049531975
